Collection,AvgDocBytes,IndexPerDocBytes,PerDocWithIndexBytes,Count,TotalBytes,TotalMB,TotalGB
users,376,5808,6184,20000,123680000,117.95,0.1152
barbers,376,5808,6184,2000,12368000,11.80,0.0115
shops,710,9436,10146,2000,20292000,19.35,0.0189
bookings,385,210,595,2000000,1190000000,1134.87,1.1083
reviews,168,2220,2388,439103,1048577964,1000.00,0.9766
notifications,198,162,360,50000,18000000,17.17,0.0168
chats,158,2696,2854,50000,142700000,136.09,0.1329
adplacements,220,75500,75720,4000,302880000,288.85,0.2821
listingplaces,95,12583,12678,1000,12678000,12.09,0.0118
Grand Total,,,,,2871175964,2738.17,2.67
